"var_label_clean","keyword","label","waves","n_waves","variables"
"8 the courts","courts","8 The courts","W4, W5, W6",3,"W4:q8 | W5:q8 | W6:q8"
"3 what do you think will be the state of our country s economic condition a few years from now ","economic","3. What do you think will be the state of our country's economic condition a few years from now?","W4, W5, W6",3,"W4:q3 | W5:q3 | W6:q3"
"4 as for your own family how do you rate the economic situation of your family today ","economic","4. As for your own family, how do you rate the economic situation of your family today?","W4, W5, W6",3,"W4:q4 | W5:q4 | W6:q4"
"5 how would you compare the current economic condition of your family with what it was a few years ago ","economic","5. How would you compare the current economic condition of your family with what it was a few years ago?","W4, W5, W6",3,"W4:q5 | W5:q5 | W6:q5"
"6 what do you think the economic situation of your family will be a few years from now ","economic","6. What do you think the economic situation of your family will be a few years from now?","W4, W5, W6",3,"W4:q6 | W5:q6 | W6:q6"
"37 did you do anything else to help out or work for a party or candidate running in the last national election ","election","37. Did you do anything else to help out or work for a party or candidate running in the last national election?","W4, W5, W6",3,"W4:q37 | W5:q37 | W6:q37"
"38 on the whole how free and fair would you say the last national election was ","election","38.On the whole, how free and fair would you say the last national election was?","W4, W5, W6",3,"W4:q38 | W5:q38 | W6:q38"
"15 local government","government","15 Local government","W4, W5, W6",3,"W4:q15 | W5:q15 | W6:q15"
"9 national government in the capital city","government","9 National government in the capital city","W4, W5, W6",3,"W4:q9 | W5:q9 | W6:q9"
"11 parliament","parliament","11 Parliament","W4, W5, W6",3,"W4:q11 | W5:q11 | W6:q11"
"34 which parties or candidates did you vote for ","parties","34 Which parties or candidates did you vote for?","W4, W5, W6",3,"W4:q34 | W5:q34 | W6:q34"
"37 did you do anything else to help out or work for a party or candidate running in the last national election ","party","37. Did you do anything else to help out or work for a party or candidate running in the last national election?","W4, W5, W6",3,"W4:q37 | W5:q37 | W6:q37"
"14 the police","police","14 The police","W4, W5, W6",3,"W4:q14 | W5:q14 | W6:q14"
"7 trust in the excutive office president or prime minister ","president","7 Trust in the excutive office (president or prime minister)","W4, W5, W6",3,"W4:q7 | W5:q7 | W6:q7"
"7 trust in the excutive office president or prime minister ","prime minister","7 Trust in the excutive office (president or prime minister)","W4, W5, W6",3,"W4:q7 | W5:q7 | W6:q7"
"7 trust in the excutive office president or prime minister ","trust","7 Trust in the excutive office (president or prime minister)","W4, W5, W6",3,"W4:q7 | W5:q7 | W6:q7"
"34 which parties or candidates did you vote for ","vote","34 Which parties or candidates did you vote for?","W4, W5, W6",3,"W4:q34 | W5:q34 | W6:q34"
"34a did the respondent vote for the winning or losing camp ","vote","34a Did the respondent vote for the winning or losing camp?","W4, W5, W6",3,"W4:q34a | W5:q34a | W6:q34a"
"181 how much influence does china have on our country ","china","181 How much influence does China have on our country?","W5, W6",2,"W5:q181 | W6:q181"
"1 how would you rate the overall economic condition of our country today ","economic","1. How would you rate the overall economic condition of our country today?","W5, W6",2,"W5:q1 | W6:q1"
"2 how would you dsecribe the change in the economic condition of our country over the last few years ","economic","2. How would you dsecribe the change in the economic condition of our country over the last few years?","W4, W5",2,"W4:q2 | W5:q2"
"16 the election commission","election","16 The election commission","W5, W6",2,"W5:q16 | W6:q16"
"33 did you vote in the last national election ","election","33 Did you vote in the last national election?","W4, W5",2,"W4:q33 | W5:q33"
"35 did you attend a campaign meeting or rally in the last national election ","election","35. Did you attend a campaign meeting or rally in the last national election?","W5, W6",2,"W5:q35 | W6:q35"
"17 non government organizations or ngos","government","17 Non-government organizations or NGOs","W5, W6",2,"W5:q17 | W6:q17"
"161 how worried are you that your family might lose its major source of income within the next 12 months ","income","161 How worried are you that your family might lose its major source of income within the next 12 months?","W5, W6",2,"W5:q161 | W6:q161"
"163 considering all the effort that you and your family members have made in the past do you think the income that your family currently receives is fair or not fair ","income","163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?","W5, W6",2,"W5:q163 | W6:q163"
"44 how easy or difficult to obtain access to the internet","internet","44 How easy or difficult to obtain access to the internet","W5, W6",2,"W5:q44 | W6:q44"
"10 political parties not any specific party ","parties","10 Political parties[not any specific party]","W5, W6",2,"W5:q10 | W6:q10"
"10 political parties not any specific party ","party","10 Political parties[not any specific party]","W5, W6",2,"W5:q10 | W6:q10"
"36 try to persudae others to vote for a certain candidate or party ","party","36. Try to persudae others to vote for a certain candidate or party?","W4, W5",2,"W4:q36 | W5:q36"
"22 would you say that most people can be trusted or that you must be very careful in dealing with people ","trust","22 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?","W5, W6",2,"W5:q22 | W6:q22"
"23 do you agree with the statement that most people are trustworthy ","trust","23 Do you agree with the statement that 'most people are trustworthy?'","W5, W6",2,"W5:q23 | W6:q23"
"24 how much trust do you have in each of the following types of people your relatives","trust","24 How much trust do you have in each of the following types of people? Your relatives","W5, W6",2,"W5:q24 | W6:q24"
"25 trust in your neighbors","trust","25 Trust in your neighbors","W5, W6",2,"W5:q25 | W6:q25"
"26 trust in other people you interact with","trust","26 Trust in other people you interact with","W5, W6",2,"W5:q26 | W6:q26"
"27 trust in people you meet for the first time","trust","27 Trust in people you meet for the first time","W5, W6",2,"W5:q27 | W6:q27"
"33 did you vote in the last national election ","vote","33 Did you vote in the last national election?","W4, W5",2,"W4:q33 | W5:q33"
"36 try to persudae others to vote for a certain candidate or party ","vote","36. Try to persudae others to vote for a certain candidate or party?","W4, W5",2,"W4:q36 | W5:q36"
